instance,portfolio,backend_scope,direct_gurobi_primal,direct_gurobi_dual,direct_gurobi_gap_fraction,portfolio_gap_fraction,gap_reduction_pp,verdict,direct_gurobi_runtime_seconds
seqsolve1,primal_dual,gurobi_only,4277.0,4275.0,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,-4.89829319616553659106850596212298339957914425999532382511105915361234510170680383446340893E-92,tie,9000.163169145584
stockholm,three_skills,all_available,129.99999982069238,107.0,0.176923075787815658789175775201686077023610388140309711574732003425781905170067692731619486,0.131147540983606557377049180327868852459016393442622950819672131147540983606557377049180328,4.57755348042091014121265948738172245645939946976867607550598722782409215635103156824391583,win,9000.029482126236
stockholm,three_skills,gurobi_only,129.99999982069238,107.0,0.176923075787815658789175775201686077023610388140309711574732003425781905170067692731619486,0.131147540983606557377049180327868852459016393442622950819672131147540983606557377049180328,4.57755348042091014121265948738172245645939946976867607550598722782409215635103156824391583,win,9000.029482126236
stockholm,primal_dual,all_available,129.99999982069238,107.0,0.176923075787815658789175775201686077023610388140309711574732003425781905170067692731619486,0.131147540983606557377049180327868852459016393442622950819672131147540983606557377049180328,4.57755348042091014121265948738172245645939946976867607550598722782409215635103156824391583,win,9000.029482126236
stockholm,primal_dual,gurobi_only,129.99999982069238,107.0,0.176923075787815658789175775201686077023610388140309711574732003425781905170067692731619486,0.131147540983606557377049180327868852459016393442622950819672131147540983606557377049180328,4.57755348042091014121265948738172245645939946976867607550598722782409215635103156824391583,win,9000.029482126236
supportcase22,three_skills,all_available,,1.4000000000000001,,0.941818181818181818181818181818181818181818181818181818181818181818181818181818181818181818,,NA,9000.165359973907
supportcase22,three_skills,gurobi_only,,1.4000000000000001,,0.941818181818181818181818181818181818181818181818181818181818181818181818181818181818181818,,NA,9000.165359973907
supportcase22,primal_dual,all_available,,1.4000000000000001,,0.941818181818181818181818181818181818181818181818181818181818181818181818181818181818181818,,NA,9000.165359973907
supportcase22,primal_dual,gurobi_only,,1.4000000000000001,,0.941818181818181818181818181818181818181818181818181818181818181818181818181818181818181818,,NA,9000.165359973907
neos-3682128-sandon,three_skills,all_available,34666765.52061766,23267683.964423973,0.328818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,0,32.8818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,win,9000.019202947617
neos-3682128-sandon,three_skills,gurobi_only,34666765.52061766,23267683.964423973,0.328818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,0,32.8818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,win,9000.019202947617
neos-3682128-sandon,primal_dual,all_available,34666765.52061766,23267683.964423973,0.328818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,0,32.8818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,win,9000.019202947617
neos-3682128-sandon,primal_dual,gurobi_only,34666765.52061766,23267683.964423973,0.328818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,0,32.8818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,win,9000.019202947617
